City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,mataura,76,NZ,1535410162,86,-46.19,168.86,45.66,15.66
1,yellowknife,75,CA,1535407200,71,62.45,-114.38,57.2,13.87
2,ponta do sol,20,BR,1535410163,77,-20.63,-46.0,63.21,8.05
3,rikitea,32,PF,1535410163,100,-23.12,-134.97,73.83,8.95
4,faanui,76,PF,1535410163,100,-16.48,-151.75,79.32,14.09
5,kapaa,90,US,1535409360,90,22.08,-159.32,78.98,6.93
6,viedma,0,AR,1535410163,34,-40.81,-62.99,61.86,8.16
7,arroyo,1,US,1535406840,71,41.39,-78.88,84.92,5.82
8,esperance,20,TT,1535407200,74,10.24,-61.45,84.2,8.05
9,upernavik,92,GL,1535410164,100,72.79,-56.15,36.93,1.45
10,butaritari,56,KI,1535410164,100,3.07,172.79,84.27,9.84
11,ribeira grande,12,PT,1535410164,100,38.52,-28.7,73.29,5.14
12,cabo san lucas,75,MX,1535406180,70,22.89,-109.91,89.6,6.93
13,la mina,20,CL,1535407200,76,-34.7,-71.28,57.2,8.05
14,punta arenas,40,CL,1535407200,100,-53.16,-70.91,39.2,23.04
15,atuona,0,PF,1535410165,99,-9.8,-139.03,79.77,15.88
16,ushuaia,75,AR,1535407200,95,-54.81,-68.31,42.8,19.46
17,busselton,0,AU,1535409917,100,-33.64,115.35,57.45,14.99
18,hermanus,76,ZA,1535409905,100,-34.42,19.24,48.45,4.36
19,jamestown,0,AU,1535410165,63,-33.21,138.6,50.61,11.41
20,benghazi,0,LY,1535410166,100,32.12,20.07,81.12,14.99
21,severo-kurilsk,0,RU,1535410166,87,50.68,156.12,53.67,16.22
22,avarua,20,CK,1535407200,60,-21.21,-159.78,75.2,11.41
23,qaanaaq,88,GL,1535410166,100,77.48,-69.36,32.52,1.57
24,thompson,75,CA,1535407200,53,55.74,-97.86,51.8,9.17
25,leningradskiy,8,RU,1535410166,100,69.38,178.42,35.49,3.69
26,cayenne,20,GF,1535409000,83,4.94,-52.33,80.6,6.6
27,avera,1,US,1535409300,41,33.19,-82.53,93.92,3.91
28,te anau,92,NZ,1535410167,100,-45.41,167.72,40.35,3.47
29,new norfolk,75,AU,1535409000,86,-42.78,147.06,41.0,10.29
30,batagay-alyta,0,RU,1535410167,79,67.8,130.41,52.77,3.58
31,san patricio,0,PY,1535410167,72,-26.98,-56.83,53.31,4.59
32,dingle,8,PH,1535410168,74,11.0,122.67,82.92,2.91
33,tuktoyaktuk,75,CA,1535407200,81,69.44,-133.03,44.6,12.75
34,codajas,68,BR,1535410168,92,-3.84,-62.06,77.16,1.9
35,haradok,80,BY,1535410168,94,55.46,29.99,54.21,7.61
36,port elizabeth,1,US,1535406960,65,39.31,-74.98,89.06,4.7
37,caravelas,0,BR,1535407200,83,-17.73,-39.27,77.0,11.41
38,hobart,75,AU,1535409000,86,-42.88,147.33,41.0,10.29
39,puerto ayora,40,EC,1535407200,65,-0.74,-90.35,78.8,9.17
40,iqaluit,75,CA,1535407200,87,63.75,-68.52,42.8,4.7
41,georgetown,40,GY,1535407200,94,6.8,-58.16,77.0,4.7
42,prokopyevsk,0,RU,1535410169,91,53.89,86.74,52.77,12.64
43,seoul,75,KR,1535409000,83,37.57,126.98,75.2,5.82
44,mahebourg,40,MU,1535407200,64,-20.41,57.7,71.6,14.99
45,beringovskiy,100,RU,1535410170,100,63.05,179.32,50.97,6.26
46,kahului,40,US,1535406960,72,20.89,-156.47,86.0,20.8
47,kavaratti,44,IN,1535410170,100,10.57,72.64,75.27,7.16
48,bluff,0,AU,1535410170,38,-23.58,149.07,67.98,7.49
49,hilo,90,US,1535408040,93,19.71,-155.08,75.92,6.93
50,penzance,68,GB,1535406600,87,50.12,-5.53,57.2,8.05
51,richards bay,0,ZA,1535410171,87,-28.77,32.06,53.22,3.02
52,aktau,0,KZ,1535407200,42,43.65,51.16,66.2,13.42
53,katsuura,40,JP,1535407200,78,33.93,134.5,80.6,3.36
54,bredasdorp,92,ZA,1535407200,93,-34.53,20.04,53.6,10.29
55,umba,36,RU,1535410171,98,66.69,34.34,54.39,11.74
56,aleysk,8,RU,1535410171,92,52.5,82.77,52.32,10.18
57,grenville,75,CA,1535407200,73,45.62,-74.6,78.8,5.82
58,tiksi,0,RU,1535410172,86,71.64,128.87,52.23,4.14
59,san cristobal,75,EC,1535407200,58,-0.39,-78.55,59.0,21.92
60,yulara,0,AU,1535407200,35,-25.24,130.99,42.8,5.82
61,dalvik,75,SE,1535408400,100,57.79,14.13,53.6,4.7
62,barnstead,1,US,1535408100,64,43.33,-71.29,86.0,4.7
63,mabai,56,CN,1535410173,93,23.01,104.4,67.71,2.57
64,dikson,92,RU,1535410173,92,73.51,80.55,50.07,21.03
65,souillac,0,FR,1535409000,77,45.6,-0.6,68.0,8.05
66,mount isa,0,AU,1535409000,17,-20.73,139.49,64.4,8.05
67,tautira,20,PF,1535409000,62,-17.73,-149.15,84.2,13.87
68,sitka,8,US,1535410174,56,37.17,-99.65,88.59,14.65
69,vostok,100,RU,1535410174,100,46.45,135.83,57.54,2.68
70,pangnirtung,75,CA,1535407200,86,66.15,-65.72,41.0,6.93
71,kenai,40,US,1535406960,71,60.55,-151.26,57.92,14.99
72,tasiilaq,0,GL,1535406600,75,65.61,-37.64,41.0,5.82
73,port macquarie,40,AU,1535407200,62,-31.43,152.91,53.6,8.05
74,vaini,92,IN,1535410175,98,15.34,74.49,68.25,4.03
75,vilhena,0,BR,1535407200,51,-12.74,-60.15,82.4,3.36
76,tocopilla,0,CL,1535410175,100,-22.09,-70.2,57.27,3.8
